Author,P,T,Type of liquid,Type of Gas,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,L/D,Vsl,Vsg,Flow_label
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,0.0,931.0,0.361904,0.137424,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,-9.0,931.0,0.611215,1.77117,I
1986_Kou,240.6,14.4,Kerosene,Air,814.0,3.0,0.0019,1.9e-05,0.029,0.0762,0,0.0,5480.0,0.1524,2.883408,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0258,0,1.0,931.0,1.38716,0.0835363,DB
1997_N. ,-80.6,-256.0,H-liq,H-gas,77.0416024653313,0.1254,1.16508037712477e-05,5.066e-07,0.07,0.00874,0,1.5,,0.00422052,2.14663,SS
1982_Ova,103186.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-30.0,,1.65901,15.8639,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0763,0,9.0,313.0,0.049026599999988,0.102894,I
1982_Ova,102861.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.025,0,-5.0,,1.0,0.016,SW
2003_Abd,592.0,35.0,Water,Nitrogen,1000.0,6.469,0.001,2.694e-06,0.07,0.1064,0,1.0,,0.148885,2.91418,I
1982_Ova,102119.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,10.0,,1.0,0.1,I
1982_Ova,101834.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,1.0,,1.6,0.63,I
1982_Ova,103385.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,-70.0,,0.67336,2.57476,SW
1982_Ova,102664.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,15.0,,1.59986,6.10209,I
1987_Sun,350.0,22.0,Oil,Air,860.0,4.134,0.007,1e-05,0.032,0.0512,0,0.0,464.0,0.117657,1.11805,I
1982_Ova,102034.3,,water,Air,1000.0,1.8,0.001,1.5e-05,0.07,0.051,0,5.0,,0.1,0.1,I
